AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4199.487179,4215.25641,4218.589744,4233.333333,4140.641025,4184.487179,4171.025641,4177.179487,4186.666667,4147.692307,4121.794872,4434.871795,4336.025641,4249.358974
4200.128205,4211.794872,4222.564103,4235.384615,4143.461538,4185.128205,4169.615384,4170.897436,4185.769231,4146.153846,4124.487179,4433.974359,4333.461539,4249.871795
4191.153846,4205.25641,4212.051282,4232.948718,4143.846154,4177.948718,4166.538461,4165,4184.487179,4146.025641,4121.153846,4422.435898,4325.25641,4240.512821
4185.769231,4203.974359,4204.230769,4229.615385,4139.871795,4173.205128,4162.564102,4162.179487,4182.435897,4145.51282,4122.051282,4417.051282,4320.384616,4236.153846
4188.717949,4204.358974,4211.794872,4233.461538,4144.102564,4183.589743,4167.948718,4169.74359,4187.820513,4145.641025,4123.461538,4427.435898,4337.564103,4244.358974
4190.51282,4204.230769,4215.897436,4236.538462,4142.820513,4185.769231,4173.333333,4177.051282,4193.205128,4146.153846,4121.794872,4428.461539,4362.307693,4246.794872
4185.897436,4202.564103,4203.461538,4232.307692,4143.333333,4172.692308,4168.717949,4170.384615,4186.538461,4145.25641,4121.153846,4417.564103,4365,4242.820513
4183.076923,4199.487179,4200.128205,4229.871795,4143.333333,4171.794872,4166.410256,4167.564102,4181.923077,4145.897436,4117.692307,4422.307693,4356.538462,4245
4186.538461,4199.487179,4209.74359,4233.333333,4140.25641,4182.435897,4171.538461,4175,4189.358974,4148.076923,4108.589743,4432.435898,4359.615385,4243.974359
4189.871795,4202.179487,4207.435897,4233.461538,4144.102564,4186.538461,4173.717949,4174.615384,4191.923077,4146.666666,4105.384615,4425,4355.128205,4232.948718
4185.25641,4202.051282,4199.102564,4225.25641,4143.589743,4182.435897,4169.615384,4167.179487,4182.948718,4144.871795,4107.435897,4414.358975,4334.74359,4223.461538
4179.615384,4197.051282,4198.076923,4219.74359,4143.974359,4177.179487,4166.410256,4165,4181.923077,4147.307692,4105.51282,4412.820513,4325.512821,4222.564103
4182.692308,4194.102564,4200.384615,4226.025641,4143.589743,4173.205128,4167.564102,4168.974359,4193.076923,4149.102564,4110.384615,4415.128205,4330.384616,4225.384615
4188.205128,4198.205128,4201.923077,4229.102564,4139.102564,4173.846154,4167.564102,4171.282051,4193.205128,4146.794872,4122.051282,4417.820513,4331.666667,4227.435897
4188.333333,4201.025641,4203.205128,4223.717949,4145,4174.74359,4166.538461,4172.948718,4192.179487,4146.025641,4125.128205,4416.794872,4326.153846,4227.307692
4187.051282,4199.102564,4202.564103,4220.384615,4144.230769,4171.666667,4167.435897,4172.692308,4198.589743,4145.641025,4121.923077,4414.48718,4322.948718,4224.74359
4188.717949,4196.923077,4203.205128,4220.128205,4141.666666,4177.179487,4169.102564,4170.25641,4196.153846,4146.153846,4129.743589,4416.025641,4326.923077,4224.871795
4187.820513,4196.025641,4202.051282,4215.51282,4145,4180.897436,4169.102564,4174.230769,4190.897436,4147.564102,4139.358974,4416.666667,4329.615385,4227.435897
4186.538461,4197.307692,4199.230769,4211.410256,4141.794872,4171.410256,4169.230769,4183.974359,4195.897436,4147.179487,4139.487179,4417.179488,4330.641026,4227.948718
4194.230769,4202.051282,4207.692308,4216.153846,4144.615384,4171.282051,4172.692308,4196.025641,4207.307692,4146.923077,4145.641025,4425.256411,4336.923077,4235.25641
4198.589743,4204.615385,4212.948718,4218.205128,4144.102564,4180.641026,4173.205128,4200.384615,4210.25641,4147.435897,4154.102564,4428.589744,4331.794872,4240.769231
4192.051282,4201.410256,4204.487179,4215.128205,4141.538461,4178.076923,4171.923077,4191.282051,4205.897436,4147.692307,4153.333333,4420.512821,4314.102564,4233.846154
4187.948718,4198.974359,4201.153846,4214.871795,4145.769231,4171.538461,4173.205128,4183.461538,4201.410256,4148.589743,4151.153846,4420.256411,4306.410257,4230.769231
4190,4201.153846,4207.820513,4215.128205,4143.846154,4173.461538,4172.564102,4185.897436,4201.410256,4147.948718,4153.076923,4424.74359,4310.641026,4233.589744
4189.102564,4199.358974,4207.948718,4209.230769,4144.487179,4171.410256,4167.564102,4187.051282,4203.205128,4145.384615,4149.74359,4418.846154,4311.153846,4231.153846
4180.25641,4190.769231,4195.384615,4200.897436,4143.205128,4166.666666,4161.282051,4182.948718,4198.974359,4147.051282,4142.051282,4411.794872,4308.589744,4224.871795
